                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.47265,                 0.2655,                0.81974,                0.99743,                 0.9943,                0.99497,                0.93299,                0.43014,                0.22033,                0.90602,              0.0092872,              0.0092872,              0.0092872
                     38,                0.47119,                0.26318,                 0.8216,                      1,                0.99735,                  0.995,                0.92806,                0.41333,                 0.1981,                0.90587,              0.0092674,              0.0092674,              0.0092674
                     39,                0.47236,                0.25989,                 0.8206,                0.99729,                0.99488,                0.99497,                0.92507,                0.44489,                0.23954,                0.90936,              0.0092476,              0.0092476,              0.0092476
                     40,                0.46674,                0.25989,                 0.8186,                0.99742,                  0.988,                0.99497,                0.94168,                0.39879,                 0.2212,                0.90112,              0.0092278,              0.0092278,              0.0092278
                     41,                0.47027,                0.26126,                0.81995,                0.99489,                0.99562,                0.99492,                 0.9416,                0.39072,                0.21634,                0.89907,               0.009208,               0.009208,               0.009208
                     42,                0.46343,                 0.2575,                 0.8189,                      1,                0.99842,                  0.995,                0.94115,                0.39738,                0.19541,                0.90402,              0.0091882,              0.0091882,              0.0091882
                     43,                0.46395,                0.25894,                0.81911,                      1,                0.98442,                  0.995,                0.93968,                0.39707,                0.20433,                0.90137,              0.0091684,              0.0091684,              0.0091684
                     44,                0.46116,                0.25557,                0.81931,                0.99744,                0.99613,                  0.995,                 0.9492,                 0.3827,                0.19001,                0.89991,              0.0091486,              0.0091486,              0.0091486
                     45,                0.46259,                 0.2547,                0.81946,                0.99814,                0.98465,                0.99482,                0.93388,                0.40983,                0.21087,                0.90384,              0.0091288,              0.0091288,              0.0091288
                     46,                0.46621,                0.25732,                0.81781,                      1,                0.98219,                0.99495,                 0.9359,                0.40438,                0.21873,                0.90128,               0.009109,               0.009109,               0.009109
                     47,                0.45617,                0.25234,                0.81895,                0.99743,                0.99127,                 0.9949,                0.93576,                0.42142,                0.20856,                0.90326,              0.0090892,              0.0090892,              0.0090892
                     48,                0.45424,                0.24936,                 0.8192,                0.99742,                0.99006,                0.99497,                0.92459,                0.40549,                0.20541,                0.90376,              0.0090694,              0.0090694,              0.0090694
                     49,                 0.4573,                0.25086,                 0.8187,                      1,                0.98823,                  0.995,                 0.9317,                0.39637,                0.21427,                0.90142,              0.0090496,              0.0090496,              0.0090496
                     50,                 0.4524,                0.25004,                0.81713,                0.99607,                0.99488,                  0.995,                0.90045,                0.50212,                0.23251,                0.91133,              0.0090298,              0.0090298,              0.0090298
                     51,                0.45373,                0.25194,                0.81649,                0.99482,                0.98224,                0.99485,                0.93754,                0.41844,                0.22149,                0.90463,                0.00901,                0.00901,                0.00901
                     52,                 0.4483,                0.24705,                0.81637,                0.99736,                0.96465,                 0.9941,                0.90152,                0.49995,                0.27617,                0.91476,              0.0089902,              0.0089902,              0.0089902
                     53,                0.44811,                0.24835,                0.81849,                      1,                0.99957,                  0.995,                0.94334,                0.39001,                0.19873,                0.90337,              0.0089704,              0.0089704,              0.0089704
                     54,                0.44882,                0.24616,                0.81798,                      1,                0.99312,                  0.995,                0.93941,                0.41098,                0.22678,                0.90549,              0.0089506,              0.0089506,              0.0089506
                     55,                0.44497,                0.24691,                0.81659,                0.99853,                0.98977,                0.99492,                0.94107,                0.40089,                0.21079,                0.90379,              0.0089308,              0.0089308,              0.0089308
                     56,                0.44825,                0.24725,                0.81694,                0.99738,                0.97438,                0.99485,                 0.9408,                0.38437,                0.20622,                0.90212,               0.008911,               0.008911,               0.008911
                     57,                 0.4454,                0.24495,                 0.8135,                0.99737,                0.96863,                0.99485,                0.93634,                0.39188,                0.21034,                0.90216,              0.0088912,              0.0088912,              0.0088912
                     58,                0.44537,                0.24476,                0.81827,                      1,                0.99609,                  0.995,                0.93787,                0.40311,                 0.2009,                0.90569,              0.0088714,              0.0088714,              0.0088714
                     59,                 0.4443,                0.24361,                0.81699,                0.99944,                      1,                  0.995,                0.94889,                0.39694,                0.19932,                0.90255,              0.0088516,              0.0088516,              0.0088516
                     60,                0.44092,                 0.2422,                0.81535,                      1,                0.98164,                  0.995,                0.94032,                 0.3827,                0.20403,                 0.9029,              0.0088318,              0.0088318,              0.0088318
                     61,                0.44555,                0.24366,                0.81873,                      1,                0.99458,                  0.995,                0.92752,                0.44018,                0.20834,                0.90844,               0.008812,               0.008812,               0.008812
                     62,                 0.4431,                 0.2419,                 0.8175,                0.99963,                0.99744,                  0.995,                0.94352,                0.40547,                0.20115,                0.90319,              0.0087922,              0.0087922,              0.0087922
                     63,                0.44098,                0.24259,                0.81571,                      1,                0.99586,                  0.995,                0.94591,                0.39708,                0.19627,                0.90145,              0.0087724,              0.0087724,              0.0087724
                     64,                0.43963,                0.24055,                0.81465,                      1,                  0.974,                0.99495,                0.94492,                0.41055,                0.20276,                0.90427,              0.0087526,              0.0087526,              0.0087526
                     65,                0.43718,                0.24062,                 0.8149,                0.99227,                0.97698,                0.99457,                0.93052,                0.43862,                0.21841,                0.90762,              0.0087328,              0.0087328,              0.0087328
                     66,                0.43448,                0.23928,                 0.8145,                0.99744,                0.99662,                0.99495,                0.95066,                0.37986,                0.19803,                0.89895,               0.008713,               0.008713,               0.008713
                     67,                0.43402,                0.23715,                0.81655,                0.99481,                0.98072,                0.99487,                0.94788,                0.39279,                0.20905,                0.90047,              0.0086932,              0.0086932,              0.0086932
                     68,                0.43436,                0.23799,                0.81293,                      1,                0.96824,                0.99472,                0.94211,                0.40532,                0.22107,                0.90292,              0.0086734,              0.0086734,              0.0086734
                     69,                0.43459,                0.23719,                0.81455,                      1,                 0.9715,                0.99497,                0.94728,                0.36917,                0.20517,                0.89888,              0.0086536,              0.0086536,              0.0086536
                     70,                0.43454,                0.23891,                0.81643,                      1,                0.98419,                  0.995,                0.95052,                0.37296,                0.19724,                0.90068,              0.0086338,              0.0086338,              0.0086338
                     71,                0.43519,                0.23906,                0.81344,                0.99485,                0.98881,                0.99487,                0.94038,                0.39212,                0.19968,                0.90114,               0.008614,               0.008614,               0.008614
                     72,                0.43081,                0.23586,                0.81226,                      1,                0.98142,                  0.995,                0.93133,                0.44482,                0.21052,                0.90449,              0.0085942,              0.0085942,              0.0085942
                     73,                0.43291,                0.23717,                0.81339,                0.99824,                0.99744,                  0.995,                0.94067,                0.39279,                0.19889,                0.90127,              0.0085744,              0.0085744,              0.0085744
                     74,                0.42685,                0.23321,                0.81436,                0.99895,                      1,                  0.995,                0.94196,                0.40988,                0.19303,                 0.9041,              0.0085546,              0.0085546,              0.0085546
                     75,                0.42959,                0.23416,                0.81408,                0.99942,                      1,                  0.995,                0.94855,                0.38537,                0.18531,                0.90086,              0.0085348,              0.0085348,              0.0085348
